system:index,dong,grid_id,gu,mean,.geo
00000000000000000826,평창동,G_2239,종로구,273.72867683000004,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.62026284434582]}"
00000000000000000827,평창동,G_2240,종로구,275.17108127,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.62026284434582]}"
00000000000000000828,평창동,G_2241,종로구,271.82142167,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.62026284434582]}"
00000000000000000848,평창동,G_2276,종로구,276.20845034,"{""type"":""Point"",""coordinates"":[126.95402712211214,37.624762077308745]}"
00000000000000000849,평창동,G_2277,종로구,274.40544479,"{""type"":""Point"",""coordinates"":[126.9595296528121,37.624762077308745]}"
0000000000000000084a,평창동,G_2278,종로구,274.62932509999996,"{""type"":""Point"",""coordinates"":[126.96502772441099,37.624762077308745]}"
0000000000000000084b,평창동,G_2279,종로구,271.46082056,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.62476207730875]}"
0000000000000000084c,평창동,G_2280,종로구,277.43381051,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.624762077308745]}"
0000000000000000086e,평창동,G_2316,종로구,272.00086772000003,"{""type"":""Point"",""coordinates"":[126.96502772441099,37.62926131027167]}"
0000000000000000086f,평창동,G_2317,종로구,276.28022876,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.62926131027167]}"
00000000000000000870,평창동,G_2318,종로구,273.84659852,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.62926131027167]}"
000000000000000006e8,혜화동,G_1892,종로구,278.13963164,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.58426006244029]}"
000000000000000006e9,혜화동,G_1893,종로구,277.35348704,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.58426006244029]}"
00000000000000000712,혜화동,G_1941,종로구,277.93284143,"{""type"":""Point"",""coordinates"":[126.9925270006076,37.58875929540322]}"
00000000000000000713,혜화동,G_1942,종로구,277.58078537,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.58875929540322]}"
00000000000000000602,광희동,G_1638,중구,276.64766591,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.56625867148754]}"
00000000000000000526,다산동,G_1413,중구,276.29219183,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.55276097259876]}"
00000000000000000571,다산동,G_1489,중구,278.61473642,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.55726020556168]}"
000000000000000005bd,동화동,G_1566,중구,276.78609572,"{""type"":""Point"",""coordinates"":[127.0200262768042,37.56175943852461]}"
000000000000000005b6,명동,G_1559,중구,276.69380918,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.56175943852461]}"
000000000000000005b7,명동,G_1560,중구,275.76581675,"{""type"":""Point"",""coordinates"":[126.98702892900869,37.56175943852461]}"
000000000000000005fd,명동,G_1633,중구,274.94207393,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.56625867148754]}"
000000000000000005fe,명동,G_1634,중구,275.88886547,"{""type"":""Point"",""coordinates"":[126.98702892900869,37.56625867148754]}"
000000000000000005b4,소공동,G_1557,중구,277.1244797,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.56175943852461]}"
000000000000000005b5,소공동,G_1558,중구,275.42401474999997,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.56175943852461]}"
000000000000000005fb,소공동,G_1631,중구,277.43551951999996,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.56625867148754]}"
000000000000000005fc,소공동,G_1632,중구,277.34836000999996,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.56625867148754]}"
000000000000000005bc,신당동,G_1565,중구,277.43551951999996,"{""type"":""Point"",""coordinates"":[127.0145282052053,37.56175943852461]}"
00000000000000000603,신당동,G_1639,중구,276.54512531,"{""type"":""Point"",""coordinates"":[127.0145282052053,37.56625867148754]}"
000000000000000004db,약수동,G_1336,중구,274.69597649,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.54826173963583]}"
00000000000000000527,약수동,G_1414,중구,274.6464152,"{""type"":""Point"",""coordinates"":[127.0145282052053,37.55276097259876]}"
000000000000000005ff,을지로동,G_1635,중구,277.74485032999996,"{""type"":""Point"",""coordinates"":[126.9925270006076,37.56625867148754]}"
00000000000000000600,을지로동,G_1636,중구,277.57224032,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.56625867148754]}"
00000000000000000601,을지로동,G_1637,중구,278.17722986,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.56625867148754]}"
00000000000000000525,장충동,G_1412,중구,277.03048415,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.55276097259876]}"
000000000000000005ba,장충동,G_1563,중구,278.46434353999996,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.56175943852461]}"
000000000000000005bb,장충동,G_1564,중구,277.80466567999997,"{""type"":""Point"",""coordinates"":[127.00903013360639,37.56175943852461]}"
00000000000000000569,중림동,G_1481,중구,276.82369394,"{""type"":""Point"",""coordinates"":[126.96502772441099,37.557260205561676]}"
00000000000000000572,청구동,G_1490,중구,276.36567926,"{""type"":""Point"",""coordinates"":[127.0145282052053,37.55726020556168]}"
00000000000000000522,필동,G_1409,중구,272.84170064,"{""type"":""Point"",""coordinates"":[126.98702892900869,37.55276097259876]}"
00000000000000000523,필동,G_1410,중구,275.11639295,"{""type"":""Point"",""coordinates"":[126.9925270006076,37.552760972598755]}"
00000000000000000524,필동,G_1411,중구,275.29925702,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.55276097259876]}"
0000000000000000056d,필동,G_1485,중구,275.90253755000003,"{""type"":""Point"",""coordinates"":[126.98702892900869,37.55726020556169]}"
0000000000000000056e,필동,G_1486,중구,277.16720495000004,"{""type"":""Point"",""coordinates"":[126.9925270006076,37.557260205561676]}"
0000000000000000056f,필동,G_1487,중구,275.28387593,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.557260205561676]}"
00000000000000000570,필동,G_1488,중구,277.10226257,"{""type"":""Point"",""coordinates"":[127.00352760290644,37.55726020556168]}"
000000000000000005b8,필동,G_1561,중구,276.60494066,"{""type"":""Point"",""coordinates"":[126.9925270006076,37.56175943852461]}"
000000000000000005b9,필동,G_1562,중구,277.2782906,"{""type"":""Point"",""coordinates"":[126.99802953130754,37.56175943852461]}"
00000000000000000604,황학동,G_1640,중구,279.08813219,"{""type"":""Point"",""coordinates"":[127.0200262768042,37.56625867148754]}"
00000000000000000647,황학동,G_1711,중구,276.35200718,"{""type"":""Point"",""coordinates"":[127.0200262768042,37.570762363551516]}"
0000000000000000056a,회현동,G_1482,중구,277.20822119,"{""type"":""Point"",""coordinates"":[126.97053025511094,37.55726020556168]}"
0000000000000000056b,회현동,G_1483,중구,277.37228615000004,"{""type"":""Point"",""coordinates"":[126.97602832670984,37.55726020556169]}"
0000000000000000056c,회현동,G_1484,중구,277.67136289999996,"{""type"":""Point"",""coordinates"":[126.98152639830874,37.55726020556168]}"
00000000000000000727,망우3동,G_1962,중랑구,272.14784258,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.58875929540322]}"
0000000000000000074f,망우3동,G_2007,중랑구,275.28900296,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.59325852836615]}"
00000000000000000750,망우3동,G_2008,중랑구,276.45625679,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.59325852836615]}"
00000000000000000751,망우3동,G_2009,중랑구,272.9886755,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.59325852836615]}"
00000000000000000752,망우본동,G_2010,중랑구,272.5785131,"{""type"":""Point"",""coordinates"":[127.1135291667939,37.59325852836616]}"
00000000000000000779,망우본동,G_2053,중랑구,276.33491707999997,"{""type"":""Point"",""coordinates"":[127.09703049289615,37.597762220430134]}"
0000000000000000077a,망우본동,G_2054,중랑구,275.62567793,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.597762220430134]}"
0000000000000000077b,망우본동,G_2055,중랑구,273.7235498,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.597762220430134]}"
0000000000000000077c,망우본동,G_2056,중랑구,272.732324,"{""type"":""Point"",""coordinates"":[127.1135291667939,37.597762220430134]}"
000000000000000007a3,망우본동,G_2098,중랑구,275.97602498,"{""type"":""Point"",""coordinates"":[127.10252856449505,37.602261453393055]}"
000000000000000007a4,망우본동,G_2099,중랑구,276.71260829,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.602261453393055]}"
000000000000000007a5,망우본동,G_2100,중랑구,275.7743618,"{""type"":""Point"",""coordinates"":[127.1135291667939,37.602261453393055]}"
000000000000000007cb,망우본동,G_2142,중랑구,277.80295666999996,"{""type"":""Point"",""coordinates"":[127.10802663609395,37.60676068635598]}"
000000000000000007cc,망우본동,G_2143,중랑구,277.63376468,"{""type"":""Point"",""coordinates"":[127.1135291667939,37.60676068635598]}"
