지하차도명,주소,위도,경도
대치지하차도,서울특별시 마포구 공덕동,37.550174347382,126.960034513244
양화진지하보차도,서울특별시 마포구 합정동,37.5516618139959,126.911756414276
호압사지하차도,서울특별시 금천구 시흥동,37.4476688042388,126.908452220723
동선지하차도,서울특별시 성북구 동선동4가,37.5952221822842,127.018633716126
외대앞역지하차도,서울특별시 동대문구 이문동,37.6004055110663,127.066373060068
가락지하차도,서울특별시 송파구 가락동,37.496542166563,127.105729381413
오류지하차도,서울특별시 구로구 오류동,37.4889461307052,126.835492478188
목동교서측지하차도,서울특별시 양천구 목동,37.5304364108361,126.870989288343
퇴계로지하차도,서울특별시 중구 주자동,37.5606394146993,126.989388129589
초안산지하차도,서울특별시 노원구 월계동,37.6199191869585,127.062987742987
신사지하차도,서울특별시 은평구 신사동,37.5949214743515,126.908475948726
송파지하차도,서울특별시 송파구 가락동,37.496542166563,127.105729381413
구로역지하차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
광장중앞지하차도,서울특별시 광진구 광장동,37.5468565308905,127.103025712709
박미지하차도,서울특별시 금천구 시흥동,37.4476688042388,126.908452220723
선암지하차도,서울특별시 서초구 우면동,37.4646530229736,127.01605116304
개포지하차도,서울특별시 강남구 개포동,37.4819251305595,127.057440206035
광나루지하차도,서울특별시 광진구 광장동,37.5468565308905,127.103025712709
목동교동측지하차도,서울특별시 영등포구 양평동3가,37.5293681802836,126.891015825174
응봉지하차도,서울특별시 성동구 성수동1가,37.5417253860377,127.043351028535
고척지하차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
신동아쇼핑지하차도,서울특별시 용산구 서빙고동,37.5204623812777,126.994638088433
장암지하차도,서울특별시 노원구 상계동,37.66125057554,127.060252770712
공릉지하차도,서울특별시 노원구 공릉동,37.6248431089169,127.073821318894
의주로지하차도,서울특별시 중구 순화동,37.5625571795011,126.970694369794
송파나루지하차도,서울특별시 송파구 신천동,37.5182926381798,127.101366591012
중랑지하보차도,서울특별시 동대문구 휘경동,37.5908553624268,127.065730507228
마장지하차도,서울특별시 성동구 마장동,37.5663795479871,127.045325760782
공항입구지하차도,서울특별시 강서구 방화동,37.571309073515,126.811820803059
경인철도횡단지하차도,서울특별시 구로구 구로동,37.4957707378732,126.882642231121
동부지하차도,서울특별시 동대문구 이문동,37.6004055110663,127.066373060068
노원지하차도,서울특별시 노원구 상계동,37.66125057554,127.060252770712
수녀원앞굴다리지하차도,서울특별시 성북구 정릉동,37.6185808255471,126.995482832879
동남로지하보차도,서울특별시 강동구 둔촌동,37.527188288761,127.142354524933
서초보금자리지하차도,서울특별시 서울 서초구 우면동,37.4646530229736,127.01605116304
인천공항방향지하차도,서울특별시 강서구 방화동,37.571309073515,126.811820803059
솔샘지하차도,서울특별시 성북구 정릉동,37.6185808255471,126.995482832879
고척2지하차도,서울특별시 구로구 고척동,37.5013977406623,126.863557123957
개화지하차도,서울특별시 강서구 개화동,37.5913312008972,126.810864581737
당산나들목,서울특별시 영등포구 당산동,37.5402584246454,126.902165652703
성동지하차도,서울특별시 성동구 행당동,37.5583059078881,127.037031736958
행당지하보차도,서울특별시 성동구 행당동,37.5583059078881,127.037031736958
신상도지하차도,서울특별시 동작구 상도동,37.4985163075707,126.939014238644
화곡지하차도,서울특별시 강서구 가양동,37.5693673262879,126.84732341674
내곡지하차도,서울특별시 서초구 염곡동,37.4622991870892,127.053907608672
가람교지하차도,서울특별시 성동구 송정동,37.5545322586261,127.069569072089
신반포지하보차도,서울특별시 서초구 반포동,37.5051446767402,127.013359062646
문정지하차도,서울특별시 송파구 문정동,37.4847415034154,127.118267660547
한남2동지하차도,서울특별시 용산구 한남동,37.53462985578,127.000552132438
호암길지하차도,서울특별시 금천구 시흥동,37.4476688042388,126.908452220723
오금지하차도,서울특별시 양천구 신정동,37.5185526780281,126.854354325392
서울숲2지하차도,서울특별시 성동구 성수동1가,37.5417253860377,127.043351028535
오금교동측지하차도,서울특별시 구로구 신도림동,37.5077809050367,126.880610228674
여의2지하차도,서울특별시 영등포구 영등포동7가,37.5240155727984,126.907114627945
한강대교동측지하차도,서울특별시 용산구 이촌동,37.5141954312251,126.972097769518
오목교동측지하차도,서울특별시 영등포구 양평동,37.5282170949853,126.885713864668
신이문지하차도,서울특별시 동대문구 이문동,37.6004055110663,127.066373060068
종암지하차도,서울특별시 성북구 종암동,37.5990602270307,127.035212918853
노원길지하박스차도,서울특별시 노원구 하계동,37.6404885286244,127.072685646642
대흥2구역지하차도,서울특별시 마포구 노고산동,37.5543526246389,126.937909479778
금호동4가지하차도,서울특별시 성동구 금호동4가,37.5447325755774,127.026161935006
