grid_id,gu,dong,latitude,longitude
G_1834,종로구,삼청동,37.579760703691925,126.9815282965097
G_1835,종로구,가회동,37.579760703691925,126.98702829650966
G_1836,종로구,종로1·2·3·4가동,37.579760703691925,126.99252829650965
G_1837,종로구,이화동,37.579760703691925,126.99802829650964
G_1838,종로구,이화동,37.579760703691925,127.00352829650964
G_1839,종로구,창신2동,37.579760703691925,127.00902829650967
G_1840,종로구,창신3동,37.579760703691925,127.01452829650967
G_1841,성북구,보문동,37.579760703691925,127.02002829650966
G_1842,동대문구,용신동,37.579760703691925,127.02552829650968
G_1843,동대문구,용신동,37.579760703691925,127.03102829650966
G_1844,동대문구,제기동,37.579760703691925,127.03652829650963
G_1845,동대문구,제기동,37.579760703691925,127.04202829650963
G_1846,동대문구,전농1동,37.579760703691925,127.04752829650963
G_1847,동대문구,전농1동,37.579760703691925,127.05302829650965
G_1848,동대문구,전농2동,37.579760703691925,127.05852829650965
G_1849,동대문구,전농2동,37.579760703691925,127.06402829650965
G_1850,동대문구,장안2동,37.579760703691925,127.06952829650966
G_1851,동대문구,장안2동,37.579760703691925,127.07502829650964
G_1852,중랑구,면목5동,37.579760703691925,127.08052829650963
G_1853,중랑구,면목7동,37.579760703691925,127.08602829650962
G_1854,중랑구,면목7동,37.579760703691925,127.09152829650962
G_1855,중랑구,면목7동,37.579760703691925,127.09702829650963
G_1856,중랑구,면목3·8동,37.579760703691925,127.10252829650963
G_1862,강서구,방화2동,37.584260703691925,126.80002829650974
G_1863,강서구,방화2동,37.584260703691925,126.80552829650975
G_1864,강서구,방화2동,37.584260703691925,126.81102829650975
G_1865,강서구,방화3동,37.584260703691925,126.81652829650974
G_1866,강서구,방화3동,37.584260703691925,126.82202829650973
G_1867,강서구,가양1동,37.584260703691925,126.82752829650975
G_1868,강서구,가양1동,37.584260703691925,126.83302829650972
G_1870,마포구,상암동,37.584260703691925,126.8770282965097
G_1871,마포구,상암동,37.584260703691925,126.8825282965097
G_1872,마포구,상암동,37.584260703691925,126.8880282965097
G_1873,은평구,수색동,37.584260703691925,126.89352829650971
G_1874,은평구,수색동,37.584260703691925,126.89902829650971
G_1875,은평구,증산동,37.584260703691925,126.90452829650971
G_1876,은평구,증산동,37.584260703691925,126.9100282965097
G_1877,서대문구,북가좌2동,37.584260703691925,126.91552829650973
G_1878,은평구,응암3동,37.584260703691925,126.92102829650969
G_1879,서대문구,홍은2동,37.584260703691925,126.92652829650969
G_1880,서대문구,홍은2동,37.584260703691925,126.93202829650969
G_1881,서대문구,홍제1동,37.584260703691925,126.9375282965097
G_1882,서대문구,홍제1동,37.584260703691925,126.9430282965097
G_1883,서대문구,홍제1동,37.584260703691925,126.94852829650969
G_1884,서대문구,홍제2동,37.584260703691925,126.95402829650968
G_1885,종로구,청운효자동,37.584260703691925,126.95952829650966
G_1886,종로구,청운효자동,37.584260703691925,126.96502829650967
G_1887,종로구,청운효자동,37.584260703691925,126.97052829650967
G_1888,종로구,청운효자동,37.584260703691925,126.97602829650967
G_1889,종로구,삼청동,37.584260703691925,126.9815282965097
G_1890,종로구,가회동,37.584260703691925,126.98702829650966
G_1891,종로구,종로1·2·3·4가동,37.584260703691925,126.99252829650965
G_1892,종로구,혜화동,37.584260703691925,126.99802829650964
G_1893,종로구,혜화동,37.584260703691925,127.00352829650964
G_1894,성북구,삼선동,37.584260703691925,127.00902829650967
G_1895,성북구,삼선동,37.584260703691925,127.01452829650967
G_1896,성북구,보문동,37.584260703691925,127.02002829650966
G_1897,성북구,안암동,37.584260703691925,127.02552829650968
G_1898,동대문구,제기동,37.584260703691925,127.03102829650966
G_1899,동대문구,제기동,37.584260703691925,127.03652829650963
G_1900,동대문구,제기동,37.584260703691925,127.04202829650963
G_1901,동대문구,청량리동,37.584260703691925,127.04752829650963
G_1902,동대문구,전농1동,37.584260703691925,127.05302829650965
G_1903,동대문구,전농2동,37.584260703691925,127.05852829650965
G_1904,동대문구,전농2동,37.584260703691925,127.06402829650965
G_1905,동대문구,휘경2동,37.584260703691925,127.06952829650966
G_1906,중랑구,면목5동,37.584260703691925,127.07502829650964
G_1907,중랑구,면목5동,37.584260703691925,127.08052829650963
G_1908,중랑구,면목3·8동,37.584260703691925,127.08602829650962
G_1909,중랑구,면목본동,37.584260703691925,127.09152829650962
G_1910,중랑구,면목3·8동,37.584260703691925,127.09702829650963
G_1911,중랑구,면목3·8동,37.584260703691925,127.10252829650963
G_1914,강서구,방화2동,37.588760703691925,126.80552829650975
G_1915,강서구,방화2동,37.588760703691925,126.81102829650975
G_1916,강서구,방화3동,37.588760703691925,126.81652829650974
G_1917,강서구,방화3동,37.588760703691925,126.82202829650973
G_1921,마포구,상암동,37.588760703691925,126.8825282965097
G_1924,은평구,수색동,37.588760703691925,126.89902829650971
G_1925,은평구,신사2동,37.588760703691925,126.90452829650971
