도로폭,시점,Latitude,Longitude,종점,Latitude,Longitude
6,구의동 593-10,37.5355759,127.091613,구의동 587-5,37.5373692,127.0910887
7,구의동 587-64,37.5357374,127.0918942,구의동 590,37.536254,127.0895723
7,구의동 216-8,37.5376056,127.0930852,구의동 216-1,37.5383054,127.0926381
5,구의동 217-25,37.537988,127.09341,구의동 218-35,37.5387328,127.092899
4,구의동 224-66,37.5422762,127.0902359,구의동 224-8,37.5421659,127.0911015
4,구의동 226-24,37.5432657,127.0901607,구의동 231-34,37.5435861,127.0881166
4,구의동 227-39,37.5430982,127.0904202,구의동 227-29,37.5430515,127.0907342
5,구의동 227-6,37.5437636,127.0906123,구의동 227-22,37.5437122,127.0909233
7,구의동 228-16,37.5439591,127.0906792,구의동 201-14,37.5413343,127.0947418
5,구의동 221-5,37.5391646,127.0891937,구의동 242-19,37.5389133,127.0865974
4,구의동 221-12,37.5399416,127.0893709,구의동 241-91,37.5403724,127.0867754
7,구의동 223-65,37.5403473,127.0898009,구의동 207-52,37.5414387,127.0932116
6,구의동 224-27,37.5416234,127.0900593,구의동 208-74,37.5413715,127.0920985
4,구의동 224-12,37.5419243,127.0901295,구의동 224-57,37.5417728,127.0910225
4,구의동 225-23,37.5420016,127.0898584,구의동 239-111,37.5422943,127.0875998
7,군자동 362-3,37.5492076,127.0710935,군자동 367-4,37.5495159,127.0727912
5,군자동 346-37,37.5505861,127.0708846,군자동 347-13,37.5508302,127.070273
7,군자동 364-15,37.5511252,127.0715166,군자동 103-0,37.5525873,127.0720813
5,군자동 102-43,37.5527361,127.0718055,군자동 342-10,37.5517458,127.0705528
5,군자동 111-1,37.5535378,127.0727375,군자동 143-13,37.5555319,127.0731249
5,군자동 51-24,37.5553299,127.0766259,군자동 471-12,37.5570532,127.0772851
6,화양동 1-10,37.5444475,127.0716746,화양동 1-20,37.5449346,127.0713277
7,화양동 12-1,37.5448296,127.0711558,화양동 12-41,37.544109,127.0699277
5,화양동 64-2,37.5454296,127.07095,화양동 51-5,37.5452325,127.072267
7,화양동 15-1,37.5454954,127.0706264,화양동 15-62,37.5447415,127.0693558
5,화양동 127-3,37.5458031,127.0708057,화양동 84-3,37.5453665,127.072241
7,화양동 16-1,37.546377,127.070146,화양동 16-43,37.5453538,127.0687708
5,군자동 360-24,37.5491149,127.0705476,군자동 360-4,37.5487862,127.0698942
7,중곡동 244-1,37.5628087,127.0802384,중곡동 258-10,37.5604367,127.0791723
7,중곡동 241-16,37.5629896,127.0810683,중곡동 229-1,37.5645893,127.0819149
7,중곡동 243-2,37.5626375,127.0807938,중곡동 259-12,37.5602026,127.0797348
8,중곡동 241-34,37.5627492,127.0815725,중곡동 172-1,37.5664768,127.0836545
9,중곡동 242-3,37.5624153,127.0814332,중곡동 647-13,37.5586596,127.0796545
7,중곡동 40-13,37.5621967,127.0829295,중곡동 31-3,37.5639197,127.0838492
7,중곡동 41-1,37.5618995,127.082682,중곡동 160-14,37.5581256,127.0809328
6,중곡동 39-49,37.5618958,127.083492,중곡동 32-9,37.5637387,127.0844075
7,중곡동 39-38,37.5616752,127.0839382,중곡동 33-43,37.5635334,127.0850168
8,중곡동 238-3,37.5642046,127.0771823,중곡동 190-7,37.5676134,127.0791246
5,중곡동 340-34,37.561129,127.0840687,중곡동 141-34,37.5577322,127.0820642
11,중곡동 46-18,37.5608704,127.0845048,중곡동 51-33,37.5589208,127.083457
6,중곡동 150-173,37.5609976,127.0850886,중곡동 37-1,37.5617931,127.0854443
6,중곡동 149-37,37.5607039,127.0855946,중곡동 150-160,37.5618388,127.0862523
7,중곡동 150-207,37.5602726,127.0856035,중곡동 54-19,37.5585634,127.085195
4,중곡동 150-183,37.5603699,127.0862347,중곡동 149-2,37.5612593,127.0861107
8,중곡동 150-195,37.5601516,127.0866585,중곡동 35-65,37.5633043,127.0861148
9,중곡동 249-28,37.5638854,127.0770087,중곡동 253-18,37.5616911,127.0760213
7,중곡동 125-1,37.5595628,127.0869279,중곡동 124-59,37.5577447,127.087232
5,중곡동 56-17,37.5600014,127.0870381,중곡동 150-145,37.5617805,127.0866475
6,중곡동 58-27,37.55933,127.087938,중곡동 58-15,37.5601604,127.0877962
6,중곡동 58-25,37.5591057,127.0882902,중곡동 58-1,37.5604733,127.088126
8,중곡동 77-25,37.5587318,127.0889654,중곡동 100-17,37.556703,127.0918727
5,중곡동 62-35,37.5590743,127.0899218,중곡동 147-108,37.5600766,127.0890505
7,중곡동 76-3,37.558847,127.0901424,중곡동 76-13,37.5581509,127.0913153
7,중곡동 63-23,37.5590166,127.0906857,중곡동 70-1,37.5591398,127.0938647
7,중곡동 239-34,37.5640255,127.0777917,중곡동 234-15,37.5657716,127.0786458
6,중곡동 71-1,37.5593408,127.0932583,중곡동 86-23,37.5576486,127.0925893
6,중곡동 69-5,37.558902,127.0924999,중곡동 67-32,37.5593993,127.0926987
6,중곡동 75-1,37.5587431,127.0929504,중곡동 75-47,37.5583671,127.0928815
7,중곡동 74-1,37.5598314,127.0947834,중곡동 74-46,37.558377,127.0943622
3,중곡동 72-58,37.5603422,127.0946614,중곡동 72-121,37.561083,127.0954776
