,교량명,시도명,교량시작점위도,교량시작점경도,교량종료점위도,교량종료점경도
8352,북악스카이웨이4교,서울특별시,37.602107,126.99716,37.602019,126.997531
8353,화랑교,서울특별시,37.602811,127.035635,37.602403,127.035525
8354,돈암차도육교,서울특별시,37.597897,127.021507,37.598406,127.020646
8355,동선고가차도,서울특별시,37.594418,127.018983,37.595917,127.020725
8356,북악스카이웨이1교,서울특별시,37.601151,127.010917,37.601203,127.011568
8357,월계2교,서울특별시,37.624321,127.049845,37.624544,127.050185
8358,제3우이교,서울특별시,37.636746,127.036306,37.637093,127.036615
8359,빨래골교,서울특별시,37.627696,127.012362,37.628546,127.012708
8360,쌍문교,서울특별시,37.64677,127.025283,37.646507,127.025062
8361,도봉교,서울특별시,37.680747,127.04551,37.681029,127.045567
8362,방학교,서울특별시,37.661591,127.042209,37.66204,127.042325
8363,문이교,서울특별시,37.657708,127.014418,37.657647,127.014687
8364,도봉제1교,서울특별시,37.679491,127.04972,37.679928,127.050072
8365,모래말다리,서울특별시,37.662173,127.046646,37.661846,127.046751
8366,우이교,서울특별시,37.642649,127.030714,37.643086,127.031202
8367,묵동교,서울특별시,37.617402,127.07577,37.616928,127.075928
8368,노원교,서울특별시,37.679103,127.050332,37.678905,127.051392
8369,녹천교,서울특별시,37.645884,127.055103,37.645667,127.05644
8370,당현2교,서울특별시,37.650152,127.068761,37.650585,127.068574
8371,상계교,서울특별시,37.661919,127.05057,37.661738,127.052225
8372,창동교,서울특별시,37.652931,127.053595,37.653079,127.054842
8373,월계1교,서울특별시,37.632379,127.062474,37.633108,127.06361
8374,월릉교,서울특별시,37.615986,127.070468,37.616514,127.072181
8375,당현1교,서울특별시,37.646317,127.063517,37.646795,127.063268
8376,당현3교,서울특별시,37.644962,127.060955,37.644881,127.061544
8377,화랑고가차도,서울특별시,37.614341,127.063444,37.615592,127.06895
8378,장월1교,서울특별시,37.602517,127.037931,37.602119,127.037832
8379,장월2교,서울특별시,37.602497,127.038226,37.602051,127.038342
8380,성북3교,서울특별시,37.591409,127.013593,37.591226,127.013839
8381,하늘다리,서울특별시,37.59033,127.016511,37.590431,127.016825
8382,미아리구름다리,서울특별시,37.597669,127.021911,37.597893,127.021532
8383,당현천4복개구조물,서울특별시,37.658734,127.071741,37.660085,127.072609
8384,솔샘고가차도,서울특별시,37.615076,127.00888,37.615416,127.00892
8385,관수교,서울특별시,37.568276,126.992404,37.568467,126.99238
8386,삼일교,서울특별시,37.568038,126.98763,37.568221,126.987641
8387,장통교,서울특별시,37.568276,126.985642,37.568459,126.985704
8388,광교,서울특별시,37.56877,126.982756,37.568968,126.982778
8389,수색교,서울특별시,37.58589,126.885651,37.586853,126.887023
8390,증산2교,서울특별시,37.584044,126.911003,37.584418,126.910476
8391,북한천다리,서울특별시,37.658625,126.947251,37.658783,126.947636
8392,삼천골다리,서울특별시,37.650619,126.936701,37.650295,126.936639
8393,사천교,서울특별시,37.568011,126.917372,37.568484,126.916506
8394,홍남교,서울특별시,37.575169,126.926656,37.575655,126.926256
8395,충정교,서울특별시,37.562586,126.964355,37.562388,126.964205
8396,홍연2교,서울특별시,37.577701,126.931309,37.577953,126.930655
8397,홍연교,서울특별시,37.579855,126.936166,37.580256,126.936166
8398,홍제교,서울특별시,37.592122,126.943901,37.591915,126.944614
8399,성산2교,서울특별시,37.565439,126.911651,37.565815,126.911274
8400,중동교,서울특별시,37.575258,126.900936,37.574863,126.901582
8401,증산교,서울특별시,37.577184,126.902773,37.576571,126.903447
8402,홍제2교,서울특별시,37.590783,126.941944,37.591255,126.941618
8403,남산육교,서울특별시,37.557307,126.976417,37.557685,126.976346
8404,백련교,서울특별시,37.582439,126.936931,37.582714,126.937333
8405,연희ic,서울특별시,37.564495,126.92931,37.564703,126.929102
8406,남산1호입구 iC,서울특별시,37.559996,126.990029,37.559942,126.990227
8407,반딧불이다리,서울특별시,37.629802,126.929349,37.62955,126.929933
8408,봉원고가차도,서울특별시,37.563995,126.944952,37.567853,126.94779
8409,삼각지고가차도,서울특별시,37.5376,126.967714,37.53602,126.972896
8410,서소문고가차도,서울특별시,37.560703,126.966029,37.562525,126.971789
8411,수색교(구교),서울특별시,37.585912,126.885722,37.586855,126.887006
8412,염천교,서울특별시,37.55952,126.970214,37.559563,126.971193
8413,은평지문,서울특별시,37.643893,126.914994,37.643693,126.914887
8414,잠두봉 고가,서울특별시,37.545861,126.909408,37.545816,126.909626
8415,성산고가차도,서울특별시,37.569405,126.904594,37.568367,126.907374
8416,소월고가차도,서울특별시,37.544128,127.002048,37.543101,127.001146
8417,욱천고가차도,서울특별시,37.533791,126.966765,37.536337,126.970554
8418,한강로다리,서울특별시,37.522668,126.962275,37.522783,126.962362
8419,한남2고가차도,서울특별시,37.535102,127.006393,37.531808,127.008904
8420,현저고가차도,서울특별시,37.571143,126.956419,37.572398,126.96338
8421,안암교,서울특별시,37.576902,127.027556,37.576994,127.027852
8422,제2마장교,서울특별시,37.568153,127.046057,37.569012,127.047366
8423,군자교,서울특별시,37.55955,127.073159,37.560651,127.070761
8424,성동교,서울특별시,37.551772,127.044058,37.553805,127.043693
8425,전농교,서울특별시,37.563988,127.056535,37.563808,127.056852
8426,동진교,서울특별시,37.573941,127.027966,37.573925,127.028162
8427,제1제기교,서울특별시,37.586564,127.03614,37.586575,127.036709
8428,제2제기교,서울특별시,37.588404,127.03714,37.587991,127.037448
8429,종암교,서울특별시,37.591286,127.038512,37.591275,127.039078
8430,먹골교,서울특별시,37.620019,127.085302,37.620179,127.084976
8431,신내교,서울특별시,37.613098,127.101295,37.613341,127.10134
