name,0_6,7_10,11_18,19_23
가락1동,-2.015238095,-0.946111111,2.624722222,-0.0693333333
가락2동,-2.015238095,-0.946111111,2.624722222,-0.0693333333
가락본동,-2.015238095,-0.946111111,2.624722222,-0.0693333333
가리봉동,-1.394603175,-0.686666667,2.4175,0.209111111
가산동,-1.394603175,-0.686666667,2.4175,0.209111111
가양1동,-2.633650794,-1.161111111,2.607777778,-0.661333333
가양2동,-2.633650794,-1.161111111,2.607777778,-0.661333333
가양3동,-2.633650794,-1.161111111,2.607777778,-0.661333333
가회동,-2.34031746,-1.613055556,2.657361111,-0.400222222
갈현1동,-5.805238098,-3.266111106,1.398888889,-3.715555556
갈현2동,-5.805238098,-3.266111106,1.398888889,-3.715555556
강일동,-3.556190476,-2.076388889,2.402638889,-1.058
개봉1동,-1.394603175,-0.686666667,2.4175,0.209111111
개봉2동,-1.394603175,-0.686666667,2.4175,0.209111111
개봉3동,-1.394603175,-0.686666667,2.4175,0.209111111
개포1동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
개포2동,-2.015238095,-0.946111111,2.624722222,-0.0693333333
개포4동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
거여1동,-2.065079365,-0.893055556,2.813333333,-0.116222222
거여2동,-2.065079365,-0.893055556,2.813333333,-0.116222222
고덕1동,-3.556190476,-2.076388889,2.402638889,-1.058
고덕2동,-3.556190476,-2.076388889,2.402638889,-1.058
고척1동,-1.394603175,-0.686666667,2.4175,0.209111111
고척2동,-1.394603175,-0.686666667,2.4175,0.209111111
공덕동,-1.40968254,-0.980833333,2.532361111,0.326222222
공릉1동,-3.456825397,-2.233611111,1.536111111,-1.617111111
공릉2동,-5.425238097,-2.843055556,2.228055556,-2.645333333
공항동,-2.633650794,-1.161111111,2.607777778,-0.661333333
광장동,-1.527936508,-1.053611111,2.594861111,0.480222222
광희동,-2.34031746,-1.613055556,2.657361111,-0.400222222
교남동,-2.34031746,-1.613055556,2.657361111,-0.400222222
구로1동,-1.394603175,-0.686666667,2.4175,0.209111111
구로2동,-1.394603175,-0.686666667,2.4175,0.209111111
구로3동,-1.394603175,-0.686666667,2.4175,0.209111111
구로4동,-1.394603175,-0.686666667,2.4175,0.209111111
구로5동,-1.394603175,-0.686666667,2.4175,0.209111111
구산동,-5.805238098,-3.266111106,1.398888889,-3.715555556
구의1동,-1.527936508,-1.053611111,2.594861111,0.480222222
구의2동,-1.527936508,-1.053611111,2.594861111,0.480222222
구의3동,-1.527936508,-1.053611111,2.594861111,0.480222222
군자동,-1.527936508,-1.053611111,2.594861111,0.480222222
금호1가동,-1.40968254,-0.980833333,2.533194444,0.326222222
금호2·3가동,-1.40968254,-0.980833333,2.533194444,0.326222222
금호4가동,-1.40968254,-0.980833333,2.533194444,0.326222222
길동,-2.518253968,-1.514444444,2.503194444,-0.166222222
길음1동,-1.772539683,-1.167777778,2.424027778,0.15
길음2동,-3.456825397,-2.233611111,1.536111111,-1.617111111
낙성대동,-3.307301587,-1.506388889,2.595972222,-1.319777778
난곡동,-3.636666667,-2.488888889,1.177916667,-1.931333333
난향동,-1.394603175,-0.686666667,2.4175,0.209111111
남가좌1동,-3.089365079,-1.861944444,1.568611111,-1.487555556
남가좌2동,-3.089365079,-1.861944444,1.568611111,-1.487555556
남영동,-1.40968254,-0.980833333,2.532361111,0.326222222
남현동,-3.307301587,-1.506388889,2.595972222,-1.319777778
내곡동,-2.984444444,-1.462222222,1.594444444,-1.52
노량진1동,-3.636666667,-2.488888889,1.177916667,-1.931333333
노량진2동,-3.636666667,-2.488888889,1.177916667,-1.931333333
녹번동,-3.089365079,-1.861944444,1.568611111,-1.487555556
논현1동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
논현2동,-1.40968254,-0.980833333,2.533194444,0.326222222
능동,-1.527936508,-1.053611111,2.594861111,0.480222222
다산동,-1.40968254,-0.980833333,2.532361111,0.326222222
답십리1동,-1.772539683,-1.167777778,2.424027778,0.15
답십리2동,-1.772539683,-1.167777778,2.424027778,0.15
당산1동,-1.287936508,-0.466111111,2.523333333,0.299777778
당산2동,-1.254603175,-0.901111111,2.200555556,0.336
대림1동,-3.636666667,-2.488888889,1.177916667,-1.931333333
대림2동,-1.394603175,-0.686666667,2.4175,0.209111111
대림3동,-1.394603175,-0.686666667,2.4175,0.209111111
대방동,-3.636666667,-2.488888889,1.177916667,-1.931333333
대조동,-5.805238098,-3.266111106,1.398888889,-3.715555556
대치1동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
대치2동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
대치4동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
대학동,-3.636666667,-2.488888889,1.177916667,-1.931333333
대흥동,-1.254603175,-0.901111111,2.200555556,0.336
도곡1동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
도곡2동,-2.203015873,-0.711666667,2.725555556,-0.0577777778
도림동,-3.636666667,-2.488888889,1.177916667,-1.931333333
도봉1동,-4.195873016,-2.755555556,2.572638889,-2.000888889
도봉2동,-4.195873016,-2.755555556,2.572638889,-2.000888889
도화동,-1.254603175,-0.901111111,2.200555556,0.336
독산1동,-1.394603175,-0.686666667,2.4175,0.209111111
독산2동,-1.394603175,-0.686666667,2.4175,0.209111111
독산3동,-3.636666667,-2.488888889,1.177916667,-1.931333333
독산4동,-1.394603175,-0.686666667,2.4175,0.209111111
돈암1동,-1.772539683,-1.167777778,2.424027778,0.15
돈암2동,-2.34031746,-1.613055556,2.657361111,-0.400222222
동선동,-1.772539683,-1.167777778,2.424027778,0.15
동화동,-1.772539683,-1.167777778,2.424027778,0.15
둔촌1동,-2.518253968,-1.514444444,2.503194444,-0.166222222
둔촌2동,-2.518253968,-1.514444444,2.503194444,-0.166222222
등촌1동,-1.287936508,-0.466111111,2.523333333,0.299777778
등촌2동,-1.287936508,-0.466111111,2.523333333,0.299777778
등촌3동,-1.287936508,-0.466111111,2.523333333,0.299777778
마장동,-1.772539683,-1.167777778,2.424027778,0.15
마천1동,-2.065079365,-0.893055556,2.813333333,-0.116222222
마천2동,-2.065079365,-0.893055556,2.813333333,-0.116222222
망우본동,-1.660634921,-1.274444444,2.467083333,0.328222222
